Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,ForStrat,Nocturnal,Climate_McN,Torpor_McN,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area
Pecari tajacu,Artiodactyla,Pecari tajacu,Pecari_tajacu,Mammal,20000,38,28,35,5800,580,32.45,KhaliqHof,PlantSeed,G,1,T/TR,N,0,0,0,-0.1,15.9,2.9,5.9,5.604498432,5.48562,41.6,32.6,36.1,35.1,2.430267625,1.63086,35.0746387,-34.81695562,NA,955
Canis mesomelas,Carnivora,Canis mesomelas,Canis_mesomelas,Mammal,7720,38.15,22,26,3768.944444,NA,21.05555556,KhaliqHof,Omnivore,G,1,T,N,0,0,1,5.3,13.8,5.8,6,6.254414858,9.6369,42.6,35.1,41.3,40.35,3.854170209,4.4478,18.53526369,-34.83982849,NA,476
Canis latrans,Carnivora,Canis latrans,Canis_latrans,Mammal,10000,36,22,26,2700,192.86,15,KhaliqHof,VertFishScav,G,1,T,N,0,0,0,-38.9,-31.9,-36.9,-36.6,4.665668302,3.85476,37.8,25.8,35.9,35.2,8.663822234,13.19514,71.39065552,8.025040627,NA,1212
Vulpes macrotis,Carnivora,Vulpes macrotis,Vulpes_macrotis,Mammal,1868,38,22,33,1143.2,71.45,5.230555556,KhaliqHof,VertFishScav,G,1,T,N,0,0,0,-14.2,-7.9,-11.8,-10.94,5.209306039,3.26172,40.6,31.6,38.5,36.64,3.838161957,4.29954,43.39726092,22.41580199,NA,277
Cerdocyon thous,Carnivora,Cerdocyon thous,Cerdocyon_thous,Mammal,5444,38.6,25,37,1497.1,110.08,8.502777778,KhaliqHof,Invertebrate,G,1,TR,N,0,0,0,-8.2,13.4,5.3,5.9,6.088517193,8.74734,35.8,32.3,34.8,34.25,1.610417117,1.33434,12.22980783,-34.98081589,NA,546
Vulpes zerda,Carnivora,Vulpes zerda,Vulpes_zerda,Mammal,1106,32,23.4,32,23.5,2.73,2.222222222,KhaliqHof,Omnivore,G,1,T,N,0,0,0,-0.7,5.7,1.3,1.9,3.367309477,1.77912,42.2,40.9,42,41.8,1.6904257,1.18608,34.02028955,13.73980651,NA,636
Galerella sanguinea,Carnivora,Herpestes sanguineus,Galerella_sanguinea,Mammal,540,38.7,26,31,410.4,32.31,2.202,KhaliqHof,Invertebrate,G,0,NA,NA,NA,0,0,4.9,14.9,11.3,12.7,2.945907051,2.07564,42.6,40.4,42.1,41.8,2.019318811,1.33434,18.80873559,-31.86006441,NA,827
Suricata suricatta,Carnivora,Suricata suricatta,Suricata_suricatta,Mammal,850,36.3,30,33,310.3,49.25,1.755555556,KhaliqHof,Invertebrate,G,0,T,N,0,0,1,-5.6,5.9,-0.375,0.4,4.005644788,5.04084,34.5,32.1,34.4,34.3,2.602909045,2.29803,-15.77366441,-33.99136441,NA,226
Spilogale putorius,Carnivora,Spilogale putorius,Spilogale_putorius,Mammal,624,36.5,30,36,312,48,1.636111111,KhaliqHof,Omnivore,G,1,T,N,0,0,0,-24.3,-14.8,-23.54,-23,6.704445999,10.3782,37.8,32.6,36.14,35.18,2.117795425,0.7413,49.34874181,24.1839198,NA,353
Eira barbara,Carnivora,Eira barbara,Eira_barbara,Mammal,2950,38.4,26,35,1221.3,98.49,6.811111111,KhaliqHof,VertFishScav,G,1,TR,N,0,0,0,-8.9,16.3,7.35,8.4,4.797819624,4.74432,37.8,32.6,35.9,35.2,3.341736033,3.11346,24.75852385,-33.7567327,NA,831
Nasua nasua,Carnivora,Nasua nasua,Nasua_nasua,Mammal,4000,36.55,25,33,998.4222222,NA,5.577777778,KhaliqHof,FruiNect,S,0,TR,N,0,0,0,2.5,11.3,6.37,6.7,3.531044047,4.59606,35.9,32.5,35.3,34.7,2.448864197,1.18608,9.388376442,-32.48946766,NA,455
Nasua narica,Carnivora,Nasua narica,Nasua_narica,Mammal,5554,38.75,25,35,1205.763889,NA,6.736111111,KhaliqHof,FruiNect,S,0,TR,N,0,0,0,-11.8,16.8,-7.645,-6.2,11.1122352,7.85778,38.9,34.5,37.6,37.19,2.223676398,1.77912,35.33622598,3.992843719,NA,472
Potos flavus,Carnivora,Potos flavus,Potos_flavus,Mammal,2400,36.25,23,30,757.2694444,NA,4.230555556,KhaliqHof,FruiNect,Ar,1,TR,N,0,0,0,-13.9,16.1,3.26,8.9,6.531864941,4.29954,40.6,32.5,35,34.4,1.746274017,1.33434,23.7226737,-23.10621643,NA,813
Ailurus fulgens,Carnivora,Ailurus fulgens,Ailurus_fulgens,Mammal,5740,37.6,25,36,878.2,69.7,4.9,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-21.8,-13.4,-18.5,-17.7,5.998716697,5.1891,32.8,25.55,30.9,29.97,4.248237815,4.22541,33.67047119,24.1809082,NA,274
Genetta tigrina,Carnivora,Genetta tigrina,Genetta_tigrina,Mammal,1732,38.5,26,35,747.1,59.77,4.25,KhaliqHof,VertFishScav,Ar,1,T,N,0,0,1,-4.1,2.5,-2.52,-2.14,3.119095173,2.9652,35.2,27.6,34.22,32.14,3.251241675,2.81694,-29.49826441,-34.83976441,NA,157
Nandinia binotata,Carnivora,Nandinia binotata,Nandinia_binotata,Mammal,4270,37.4,27,34,862.5,82.93,4.811111111,KhaliqHof,FruiNect,Ar,1,TR,N,0,0,0,8.9,16.5,11.6,12.37,2.882808266,3.11346,40.2,34.9,39.2,38.2,2.543963961,2.07564,13.95503559,-20.72996441,NA,678
Arctictis binturong,Carnivora,Arctictis binturong,Arctictis_binturong,Mammal,14280,36,27,36,1128.1,125.34,6.291666667,KhaliqHof,Omnivore,Ar,1,TR,N,0,0,1,-24,6,-17.83,-14.9,13.32841168,18.5325,35.2,32,33.26,32.6,1.490026594,0.59304,28.69453559,-7.816064407,NA,375
Arctogalidia trivirgata,Carnivora,Arctogalidia trivirgata,Arctogalidia_trivirgata,Mammal,2010,36.2,19,38,552.8,32.14,3.083333333,KhaliqHof,Omnivore,Ar,1,TR,N,0,0,1,-10.4,11.6,-2.81,2.5,8.563336169,10.67472,35.7,32,34.01,32.6,1.33173095,0.59304,28.24083559,-6.900864408,NA,330
Paradoxurus hermaphroditus,Carnivora,Paradoxurus hermaphroditus,Paradoxurus_hermaphroditus,Mammal,3160,36.5,27,36,797.3,83.93,4.230555556,KhaliqHof,Omnivore,Ar,1,TR,N,0,0,1,-24.9,5.7,-20.3,-18.7,14.76957638,21.20118,40.6,32,35.3,34.3,1.566085411,1.33434,32.98190775,-10.37476441,NA,695
Saccopteryx bilineata,Chiroptera,Saccopteryx bilineata,Saccopteryx_bilineata,Mammal,8.2,35.5,30,35,15.3,2.78,0.080555556,KhaliqHof,Invertebrate,A,1,TR,N,0,0,0,-2.5,16.55,6.5,9.59,4.548234339,3.63237,36.3,32.4,35,34.5,1.775453019,1.4826,23.55133559,-23.10626441,NA,850
Peropteryx macrotis,Chiroptera,Peropteryx macrotis,Peropteryx_macrotis,Mammal,5.1,35,30.5,37,11.8,2.62,0.066666667,KhaliqHof,Invertebrate,A,1,TR,Y,1,0,0,-3.9,15.5,3.5,6.1,5.522992047,4.89258,35.5,32.4,34.9,34.4,1.585569456,1.33434,21.60983559,-26.70156441,NA,746
Hipposideros galeritus,Chiroptera,Hipposideros galeritus,Hipposideros_galeritus,Mammal,8.5,31.9,29,32,9.4,3.24,0.052777778,KhaliqHof,Invertebrate,A,1,TR,Y,1,0,1,7,16.8,10.19,10.58,5.189943959,8.1543,42.5,33.2,41.81,41.4,3.735336925,2.37216,26.31193559,-7.816064407,NA,479
Macroderma gigas,Chiroptera,Macroderma gigas,Macroderma_gigas,Mammal,107,35.6,30,35,94.2,16.82,0.525,KhaliqHof,VertFishScav,G,1,TR,N,0,1,0,6.6,10.2,7,7.5,2.391323477,2.9652,41.2,38.1,40.6,40,2.695705741,1.92738,-11.11586441,-24.22206441,NA,365
Molossus molossus,Chiroptera,Molossus molossus,Molossus_molossus,Mammal,15.6,36,32,36,22.5,5.63,0.097222222,KhaliqHof,Invertebrate,A,1,TR,Y,1,0,0,-12.8,11.9,-7.565,-4.29,8.634171744,9.34038,38.9,32.5,35.3,34.9,1.773305908,1.18608,29.34120818,-34.98086441,NA,848
Tadarida brasiliensis,Chiroptera,Tadarida brasiliensis,Tadarida_brasiliensis,Mammal,16.9,36.15,26.3,32.7,20.943,NA,0.117,KhaliqHof,Invertebrate,A,1,NA,NA,NA,0,0,-17.4,0.4,-14.6,-12.4,12.85079836,18.08772,35.7,31.6,34.3,33.7,3.042240686,1.63086,44.20013559,-41.72876441,NA,1042
Chrotopterus auritus,Chiroptera,Chrotopterus auritus,Chrotopterus_auritus,Mammal,96.1,37.2,28,34,141.3,15.36,0.569444444,KhaliqHof,Omnivore,S,1,TR,N,0,0,0,-14.1,15.1,-2.85,7.29,7.190035929,6.22692,35.4,32.4,34.9,34.4,1.711159292,1.33434,21.60983559,-31.44576441,NA,740
Natalus tumidirostris,Chiroptera,Natalus tumidirostris,Natalus_tumidirostris,Mammal,5.4,34,28,35,8.3,1.38,NA,KhaliqHof,Invertebrate,A,1,NA,NA,NA,0,0,4.6,20,11.865,14.83,3.242321907,1.92738,35.4,32,34.535,34.07,1.769044122,1.33434,12.46333559,1.185535593,NA,314
Diaemus youngi,Chiroptera,Diaemus youngi,Diaemus_youngi,Mammal,36.6,33,25,30,37.3,4.66,0.188888889,KhaliqHof,VertFishScav,G,1,T/TR,N,0,0,0,-13.1,12.9,-4,2.26,7.248078971,5.78214,36.7,32.3,35.1,34.6,1.720719161,1.4826,23.86973559,-30.24786441,NA,763
Desmodus rotundus,Chiroptera,Desmodus rotundus,Desmodus_rotundus,Mammal,29.4,35,29,37.5,34.7,5.78,0.15,KhaliqHof,VertFishScav,G,1,T/TR,N,0,0,0,-14.6,13.7,0.35,3.5,6.780907177,7.413,39.3,32.6,35.45,34.8,1.881121901,1.4826,28.12493559,-43.01056441,NA,911
Noctilio albiventris,Chiroptera,Noctilio albiventris,Noctilio_albiventris,Mammal,27,34.2,32,38,31.6,14.36,0.133333333,KhaliqHof,Invertebrate,G,1,TR,N,0,0,0,-14,14.45,-3.375,5.8,7.626856656,7.48713,35.4,32.2,34.4,33.7,1.742660876,1.18608,16.72263559,-30.18046441,NA,702
Noctilio leporinus,Chiroptera,Noctilio leporinus,Noctilio_leporinus,Mammal,61,33.3,28,38,70.8,13.36,0.261111111,KhaliqHof,Invertebrate,G,1,TR,N,0,0,0,-9.6,15.7,1.76,6.9,6.318698807,5.78214,40.6,32.4,35.1,34.2,2.316149028,1.18608,26.18483559,-31.56036441,NA,893
Glossophaga longirostris,Chiroptera,Glossophaga longirostris,Glossophaga_longirostris,Mammal,13.5,37.5,31.5,36,26.5,4.42,NA,KhaliqHof,Omnivore,Ar,1,NA,NA,NA,0,0,3.1,20.3,7.105,11.63,4.504708653,1.77912,35.4,31.4,34.685,34.3,3.632785492,2.37216,13.37783559,0.520935593,NA,264
Glossophaga soricina,Chiroptera,Glossophaga soricina,Glossophaga_soricina,Mammal,9.6,36.5,31.4,35.2,17.7,3.47,0.119444444,KhaliqHof,Omnivore,Ar,1,TR,N,0,0,0,-14,14.4,-6.8,7.6,7.190197745,6.22692,40.5,32.3,35.1,34.5,2.208435759,1.63086,29.56163559,-31.81476441,NA,911
Tonatia bidens,Chiroptera,Tonatia bidens,Tonatia_bidens,Mammal,27.4,37,28,35,55.1,6.12,0.219444444,KhaliqHof,Invertebrate,A,1,TR,N,0,0,0,-13.3,12.3,1.13,4.56,6.483167215,4.74432,35.4,32.6,34.4,34.3,1.578486441,1.63086,-5.044264407,-27.12396441,NA,407
Rhinophylla pumilio,Chiroptera,Rhinophylla pumilio,Rhinophylla_pumilio,Mammal,9.5,36,30,35,18.6,3.1,NA,KhaliqHof,FruiNect,Ar,1,NA,NA,NA,0,0,-13.1,14.5,-6.4,-2.58,8.080263783,4.00302,35.8,32.5,35.1,34.8,2.538191474,1.63086,10.24533559,-19.68836441,NA,533
Phyllostomus hastatus,Chiroptera,Phyllostomus hastatus,Phyllostomus_hastatus,Mammal,84.2,35,25,35,100.2,10.02,0.394444444,KhaliqHof,VertFishScav,S,1,TR,N,0,0,0,-13,13.1,-6.8,-4.87,8.664154097,7.413,35.4,32.2,34.5,33.87,1.492253837,1.18608,16.48623559,-24.23226441,NA,654
Artibeus lituratus,Chiroptera,Artibeus lituratus,Artibeus_lituratus,Mammal,70.1,36.7,25,36,108,9.23,0.483333333,KhaliqHof,FruiNect,Ar,1,TR,N,0,0,0,-14,14.7,-7.33,-3.28,8.361052767,6.6717,40.2,32.4,35.53,34.8,2.399612844,1.63086,26.49293559,-29.57646441,NA,895
Phyllostomus discolor,Chiroptera,Phyllostomus discolor,Phyllostomus_discolor,Mammal,33.5,34,25,37,47.9,5.32,0.191666667,KhaliqHof,Omnivore,S,1,TR,N,0,0,0,-3.7,15.1,5.11,9.4,4.625862566,4.59606,35.6,32.3,34.5,34,1.796793044,1.33434,19.64123559,-24.72086441,NA,743
Carollia perspicillata,Chiroptera,Carollia perspicillata,Carollia_perspicillata,Mammal,14.9,36.6,29,35,43.1,5.67,0.175,KhaliqHof,FruiNect,Ar,1,TR,N,0,0,0,-14,13.1,-6.105,-3.41,8.535237288,7.70952,35.4,32.5,34.9,34.4,1.549693595,1.33434,21.60573559,-29.91056441,NA,760
Artibeus jamaicensis,Chiroptera,Artibeus jamaicensis,Artibeus_jamaicensis,Mammal,45.2,36,25,35,76.8,6.98,0.316666667,KhaliqHof,FruiNect,Ar,1,TR,N,0,0,0,0.3,17.5,3.9,5.7,4.940429986,1.63086,37.5,32.5,34.5,33.9,1.956104387,1.18608,23.85953559,-6.961764407,NA,496
Sturnira lilium,Chiroptera,Sturnira lilium,Sturnira_lilium,Mammal,21.9,36.6,30,35.5,53.2,8.06,0.219444444,KhaliqHof,FruiNect,Ar,1,T/TR,N,0,0,0,-12.8,14.6,-1.475,5.4,7.33844069,7.26474,39.9,32.3,35.1,34.7,2.310923425,1.63086,29.98403559,-34.02796441,NA,910
Diphylla ecaudata,Chiroptera,Diphylla ecaudata,Diphylla_ecaudata,Mammal,27.8,33,26,30,38.6,5.51,0.188888889,KhaliqHof,VertFishScav,G,1,TR,N,0,0,0,-14.2,14.8,-7.44,-4.28,8.976231489,6.81996,37.5,33.4,35.4,35,1.946548549,1.77912,30.35903559,-28.73756441,NA,813
Anoura caudifer,Chiroptera,Anoura caudifer,Anoura_caudifer,Mammal,11.5,36.3,26,35,42.7,4.15,0.158333333,KhaliqHof,Omnivore,Ar,1,TR,N,0,0,0,-13,10.85,-8.055,-6.21,8.628567276,5.85627,35.4,32.4,34.7,34.6,1.882987104,1.77912,12.46333559,-30.89436441,NA,510
Anoura latidens,Chiroptera,Anoura latidens,Anoura_latidens,Mammal,13.6,38.12,34.7,36.2,36.9,10.79,0.205555556,KhaliqHof,Omnivore,Ar,1,TR,N,0,0,0,-7.8,17.9,3.735,8.5,5.450215441,3.40998,35.5,31,34.5,33.91,2.747575667,2.37216,11.05313559,-11.59926441,NA,250
Sturnira erythromos,Chiroptera,Sturnira erythromos,Sturnira_erythromos,Mammal,15.9,34.4,25.5,32.5,39.9,4.48,0.222222222,KhaliqHof,FruiNect,Ar,1,TR,N,0,0,0,-13.4,5.6,-10,-7.6,8.630005979,10.67472,35.4,31.8,34.7,34.3,3.050024669,2.07564,12.46333559,-28.14646441,NA,231
Pteropus scapulatus,Chiroptera,Pteropus scapulatus,Pteropus_scapulatus,Mammal,440,37.15,24,35,242.1472222,NA,1.352777778,KhaliqHof,FruiNect,Ar,1,T/TR,N,0,1,0,-2.8,9.6,-0.3,2.5,3.685779881,2.52042,41,38.1,40.48,39.8,6.196856522,1.92738,-9.092264407,-37.22606468,NA,485
Pteropus poliocephalus,Chiroptera,Pteropus poliocephalus,Pteropus_poliocephalus,Mammal,825,36.65,15,35,316.2333333,NA,1.766666667,KhaliqHof,FruiNect,Ar,1,T,N,0,0,1,-1.2,3.4,-0.62,0.1,3.968439522,2.81694,33.1,25.6,32.5,30.98,2.92247164,2.2239,-23.97786441,-39.13896441,NA,137
Eonycteris spelaea,Chiroptera,Eonycteris spelaea,Eonycteris_spelaea,Mammal,51.6,34,26,32.5,48,6,NA,KhaliqHof,FruiNect,Ar,1,NA,NA,NA,0,1,-19.4,10.5,1.79,3.8,8.695700047,12.45384,38.8,31.8,33.8,33.11,1.275053886,0.88956,30.31223559,-10.37476441,NA,520
Cynopterus brachyotis,Chiroptera,Cynopterus brachyotis,Cynopterus_brachyotis,Mammal,37.4,36.5,30,37,47.5,7.31,0.263888889,KhaliqHof,FruiNect,Ar,1,TR,N,0,0,1,-22.7,16.1,-11.405,-7.9,10.78440235,7.413,37.5,32.4,35.405,34.41,1.322220742,1.03782,29.20343559,-4.188264407,NA,460
Histiotus velatus,Chiroptera,Histiotus velatus,Histiotus_velatus,Mammal,11.2,32,25,31,10,1.43,0.055555556,KhaliqHof,Invertebrate,A,1,TR,Y,1,0,0,-7.6,9.9,-0.76,3.24,5.394637732,4.29954,35.4,32.8,35,34.3,1.695257681,1.63086,-6.539464408,-32.59886441,NA,275
Lasiurus cinereus,Chiroptera,Lasiurus cinereus,Lasiurus_cinereus,Mammal,27.5,34.95,30,34,16.40833333,NA,0.091666667,KhaliqHof,Invertebrate,A,1,T,Y,1,0,0,-40.3,-27.5,-39.6,-38.15,19.08319051,13.63992,41.4,29,37.525,35,4.944559194,4.29954,66.19323559,-41.78696441,NA,1036
Myotis lucifugus,Chiroptera,Myotis lucifugus,Myotis_lucifugus,Mammal,9.5,32.15,32.5,34.5,9.129,NA,0.051,KhaliqHof,Invertebrate,A,1,NA,NA,NA,0,0,-36.1,-30.9,-33.4,-33,3.811721792,1.92738,42.6,23.3,35.1,34,7.772796531,11.26776,67.26963559,30.12163559,NA,1280
Chaetophractus nationi,Cingulata,Chaetophractus nationi,Chaetophractus_nationi,Mammal,2150,35.5,29,35,559,86,3.119444444,KhaliqHof,Invertebrate,G,1,T,NA,NA,0,0,-12,-5.15,-10.775,-9.65,3.98990597,4.89258,29.2,20.5,26.725,26.05,4.780927776,5.9304,-14.86908082,-26.44924373,NA,66
Chaetophractus vellerosus,Cingulata,Chaetophractus vellerosus,Chaetophractus_vellerosus,Mammal,1110,34.4,30,35,306.4,69.64,1.733333333,KhaliqHof,Invertebrate,G,1,T,N,0,0,0,-4.3,1.85,-1.64,0,4.737698164,3.11346,36,33,35.67,34.64,2.164532651,1.70499,-16.98843243,-39.48404156,NA,154
Zaedyus pichiy,Cingulata,Zaedyus pichiy,Zaedyus_pichiy,Mammal,1740,35.2,28,35,393.2,54.61,2.233333333,KhaliqHof,Invertebrate,G,1,T,Y,1,0,1,-9.5,1.5,-8.495,-6.55,3.740908,2.37216,34.4,30.25,33.995,33.49,6.523636592,3.48411,-29.3,-53.05164506,NA,142
Dasycercus cristicauda,Dasyuromorphia,Dasycercus cristicauda,Dasycercus_cristicauda,Mammal,86,37.85,30,37,46.24166667,NA,0.258333333,KhaliqHof,VertFishScav,G,1,T/TR,Y,1,0,0,4.3,5.1,4.4,4.5,0.524311804,0.59304,38.9,38.3,38.8,38.8,0.565840758,0.59304,-24.18031841,-27.50772633,NA,47
Planigale gilesi,Dasyuromorphia,Planigale gilesi,Planigale_gilesi,Mammal,9.4,35.25,28,33,12.92777778,NA,0.072222222,KhaliqHof,Omnivore,G,1,T,Y,1,0,0,1.9,4.3,3.31,3.6,0.696466805,0.7413,38.9,37.6,38.7,38.6,1.596960989,1.4826,-24.32810435,-35.01776631,NA,175
Planigale maculata,Dasyuromorphia,Planigale maculata,Planigale_maculata,Mammal,13.1,34.2,31,35,13.2,4.13,0.067,KhaliqHof,Omnivore,G,1,NA,NA,NA,1,0,2.8,11,3.2,3.7,3.928061237,3.55824,39.3,36.1,38.585,38.2,3.116958162,2.81694,-11.1158247,-33.11311287,NA,324
Sminthopsis macroura,Dasyuromorphia,Sminthopsis macroura,Sminthopsis_macroura,Mammal,24.8,33.45,31.3,34,23.36944444,NA,0.130555556,KhaliqHof,Invertebrate,G,1,T/TR,Y,1,0,0,2.3,4.8,2.7,3.68,1.340681996,0.59304,39,36.9,38.5,38.2,1.75328373,1.63086,-15.57426419,-34.24506003,NA,449
Caluromys derbianus,Didelphimorpha,Caluromys derbianus,Caluromys_derbianus,Mammal,357,34,26.36,35,203.5,22.61,1.136111111,KhaliqHof,Omnivore,Ar,1,TR,N,0,0,0,0.4,15.7,4.225,6.05,5.053156452,5.11497,35.9,32.6,35.2,34.45,1.700830703,1.63086,20.73459635,-4.502180852,NA,266
Didelphis virginiana,Didelphimorpha,Didelphis virginiana,Didelphis_virginiana,Mammal,3257,34.8,22,34,1074.8,83.97,5.299,KhaliqHof,Omnivore,S,1,NA,NA,NA,0,0,-20.4,-12.5,-16.72,-14.5,5.017679827,2.66868,38,32.8,37.1,36.2,4.312550913,3.7065,50.08648435,9.917680629,NA,599
Lutreolina crassicaudata,Didelphimorpha,Lutreolina crassicaudata,Lutreolina_crassicaudata,Mammal,812,35.8,27,35,406,46.14,2.265,KhaliqHof,Omnivore,S,1,NA,NA,NA,0,0,-8.6,9.4,1.1,2,7.004322475,8.1543,36,31,35,34.7,3.658007825,2.52042,10.24531841,-38.98753357,NA,351
Marmosa lepida,Didelphimorpha,Marmosa lepida,Marmosa_lepida,Mammal,106,36.3,31,35,63.6,12,NA,KhaliqHof,Omnivore,Ar,1,NA,NA,NA,0,0,10.7,18.2,13,14.48,3.204865025,4.4478,33.4,32.5,33.155,33,1.709935472,0.59304,8.227313557,-17.18829346,NA,310
Marmosa robinsoni,Didelphimorpha,Marmosa robinsoni,Marmosa_robinsoni,Mammal,122,34,26,36,97.6,13.01,0.544444444,KhaliqHof,Omnivore,Ar,1,TR,Y,1,0,0,1.9,21,9.335,12.12,4.273598396,1.4826,36.2,33.4,35.855,35.5,5.148362812,2.07564,12.23297596,1.858129195,NA,230
Metachirus nudicaudatus,Didelphimorpha,Metachirus nudicaudatus,Metachirus_nudicaudatus,Mammal,336,35,27.5,36,205,27.33,1.144,KhaliqHof,Omnivore,S,1,NA,NA,NA,0,0,-14.1,12.4,-6.7,-3.3,8.426796095,7.413,35.4,31.85,34.995,34.3,1.738512946,1.26021,16.59048711,-29.51412139,NA,622
Monodelphis brevicaudata,Didelphimorpha,Monodelphis brevicaudata,Monodelphis_brevicaudata,Mammal,111,33.8,28.76,36,75.5,13.02,0.422222222,KhaliqHof,Omnivore,G,1,TR,Y,1,0,0,19.5,21.5,19.8,20.3,0.745918829,0.59304,36.1,32.6,35.3,34.3,1.107090754,0.59304,7.809699788,-3.550032645,NA,221
Philander opossum,Didelphimorpha,Philander opossum,Philander_opossum,Mammal,751,35.8,29.5,36,338,53.65,1.886111111,KhaliqHof,Omnivore,S,1,TR,N,0,0,0,-10.7,16.1,-0.72,5.9,6.27315891,4.00302,35.8,32.2,34.6,34.2,2.807956504,1.77912,19.72237499,-20.14587074,NA,569
