Species,Order,Spec.syn,gen_spec,Taxa,Mass_g,Tb,Tlc,Tuc,BMR_mlO2_h,CMIN_mlO2_hC,BMR_W,Source,diet,ForStrat,Nocturnal,Climate_McN,Torpor_McN,torpor,Nconstrained,Sconstrained,Tmin,Tmedian.min,T5q.min,T10q.min,Tsd.min,Tmad.min,Tmax,Tmedian.max,T5q.max,T10q.max,Tsd.max,Tmad.max,UpperLat,LowerLat,ShapeName,Area
Lagorchestes conspicillatus,Diprotodontia,Lagorchestes conspicillatus,Lagorchestes_conspicillatus,Mammal,2660,35.8,25,35,851.2,78.81,4.747222222,KhaliqHof,PlantSeed,G,1,TR,N,0,1,0,4,8.3,6.2,6.8,1.938006245,1.92738,40.4,38.2,39.7,39.6,1.992336043,1.18608,-7.999354224,-23.87897312,NA,389
Macropus rufus,Diprotodontia,Macropus rufus,Macropus_rufus,Mammal,32490,36.3,25,35,5032.8,236.28,32.25833333,KhaliqHof,PlantSeed,G,1,T/TR,N,0,0,0,0.5,5.1,2.8,3.2,1.500656441,1.33434,39.9,37.1,39.06,38.6,1.861884397,1.63086,-15.62630109,-35.9047564,NA,449
Phascolarctos cinereus,Diprotodontia,Phascolarctos cinereus,Phascolarctos_cinereus,Mammal,4765,35.8,20,26,1048.3,66.35,5.744,KhaliqHof,PlantSeed,Ar,1,NA,NA,NA,0,1,1.4,6,4.1,4.5,1.469522532,1.18608,37.9,30.6,37.5,35.84,3.541710607,1.92738,-16.55521398,-39.1389389,NA,199
Potorous tridactylus,Diprotodontia,Potorous tridactylus,Potorous_tridactylus,Mammal,1120,36.05,20,30,503.1888889,NA,2.811111111,KhaliqHof,PlantSeed,G,1,T,N,0,0,1,-1.3,4.6,1.65,2.65,2.344398483,1.4826,30.7,24.25,29.6,28.85,2.664433297,2.14977,-24.31461621,-42.91337627,NA,136
Cercartetus nanus,Diprotodontia,Cercartetus nanus,Cercartetus_nanus,Mammal,70,34.9,31,35,51.6,13.23,0.336111111,KhaliqHof,Omnivore,Ar,1,T,HIB,1,0,1,-0.6,3.1,0.1,0.43,1.916597845,1.40847,34.1,29.05,33.8,31.07,2.249694062,1.55673,-28.11054746,-43.64396847,NA,164
Cercopithecus mitis,Diprotodontia,Cercopithecus mitis,Cercopithecus_mitis,Mammal,8500,37,5,28,3520,110,18.96388889,KhaliqHof,FruiNect,Ar,0,TR,N,0,0,0,3.4,12.3,5.4,6.28,5.205344092,6.22692,41.9,32.2,36.06,34.82,2.797861249,1.03782,11.62692714,-33.54028302,NA,309
Petauroides volans,Diprotodontia,Petauroides volans,Petauroides_volans,Mammal,1141,35.55,18,25,569.3194444,NA,3.180555556,KhaliqHof,PlantSeed,Ar,1,T/TR,N,0,0,1,1.8,5.25,2.1,2.4,2.010098977,2.74281,34.9,31.1,34.21,33.41,1.49773966,1.18608,-16.01959364,-38.58176955,NA,120
Tarsipes rostratus,Diprotodontia,Tarsipes rostratus,Tarsipes_rostratus,Mammal,10,36.6,28,34,29,3.37,0.161111111,KhaliqHof,FruiNect,Ar,1,T,Y,1,0,1,4.5,5.5,4.7,4.9,0.978144389,0.59304,36.2,30.7,35.4,34.8,2.532615153,3.55824,-27.21318582,-35.13606124,NA,151
Lasiorhinus latifrons,Diprotodontia,Lasiorhinus latifrons,Lasiorhinus_latifrons,Mammal,25000,34,25,39,2750,305.56,13.94444444,KhaliqHof,PlantSeed,G,1,T,N,0,0,1,3.6,4.9,4.425,4.5,0.690783895,0.29652,35,31.8,34.65,32.75,1.559087207,1.03782,-30.68386061,-35.17750168,NA,106
Atelerix albiventris,Erinaceomorpha,Atelerix albiventris,Atelerix_albiventris,Mammal,450,35.2,30,35,146.7,28.21,0.827777778,KhaliqHof,Omnivore,G,1,TR,NA,NA,0,0,5.1,14.5,10.17,12.2,2.494594052,1.4826,42.5,40.3,42.1,41.9,2.323955707,1.18608,16.35263559,-16.47946441,NA,775
Erinaceus concolor,Erinaceomorpha,Erinaceus concolor,Erinaceus_concolor,Mammal,822.7,35.2,27.5,31.5,347.2,45.09,1.936111111,KhaliqHof,Invertebrate,G,1,T,Y,1,0,0,-16.6,1.1,-14.16,-12.32,5.940337712,2.2239,43.5,33.2,42.8,41.22,4.292837989,3.11346,43.11083559,30.00763559,NA,329
Crocidura russula,Eulipotyphla,Crocidura russula,Crocidura_russula,Mammal,10.4,34.85,27.5,35,22.87222222,NA,0.127777778,KhaliqHof,Invertebrate,G,1,T,Y,1,0,0,-14.3,0.9,-7.76,-5.8,4.75061961,4.74432,41.2,33.1,40.26,39.22,7.983872362,7.56126,53.79333496,27.73075867,NA,289
Crocidura suaveolens,Eulipotyphla,Crocidura suaveolens,Crocidura_suaveolens,Mammal,6.5,35.25,27.5,35,18.89444444,NA,0.105555556,KhaliqHof,Invertebrate,G,1,T,Y,1,0,0,-38.7,-17.6,-35.3,-31,11.19114314,12.82449,43.2,29.9,37.825,35.7,5.50504696,5.04084,58.25947692,21.90730651,NA,1536
Procavia capensis,Hyracoidae,Procavia capensis,Procavia_capensis,Mammal,2400,37.15,27,35,646.8861111,NA,3.613888889,KhaliqHof,PlantSeed,G,0,TR,N,0,0,1,-2,9.8,3,3.5,4.088108607,5.48562,45.5,40.3,43.395,42.8,3.692538534,2.9652,34.56193559,-34.83976441,NA,902
Sylvilagus audubonii,Lagomorpha,Sylvilagus audubonii,Sylvilagus_audubonii,Mammal,672.4,38.25,28,40,456.4,44.53,2.506,KhaliqHof,PlantSeed,G,1,NA,NA,NA,0,0,-18.4,-11.6,-17.9,-17.7,6.663702119,6.81996,37.2,29.4,36.2,35.57,4.176973024,5.1891,48.42953559,18.80393559,NA,314
Elephantulus edwardii,Macroscelidae,Elephantulus edwardii,Elephantulus_edwardii,Mammal,49.8,37.6,32.5,36,54.3,10.65,0.303,KhaliqHof,Invertebrate,G,0,NA,NA,NA,0,1,-4,-0.5,-3.37,-2.31,3.012579427,2.37216,33.5,29.85,32.185,31.7,1.350063963,1.4826,-28.08617652,-34.3879509,NA,104
Macroscelides proboscideus,Macroscelidae,Macroscelides proboscideus,Macroscelides_proboscideus,Mammal,45,36.23,35,38,52,42.28,0.288888889,KhaliqHof,Invertebrate,G,0,T,Y,1,0,1,-4.5,1.4,-3.74,-1,2.108475288,1.63086,35.7,32.9,35.5,35.3,2.668645685,3.26172,-24.87320428,-33.86942601,NA,127
Macrotis lagotis,Peramelemorpha,Macrotis lagotis,Macrotis_lagotis,Mammal,1011,35.15,27,35,353.525,NA,1.975,KhaliqHof,Invertebrate,G,1,T/TR,N,0,0,0,4.3,6.2,5,5.19,1.625636882,1.18608,40.5,38.1,39.35,38.6,1.792943417,0.44478,-16.36350441,-35.06655502,NA,230
Tamandua tetradactyla,Pilosa,Tamandua tetradactyla,Tamandua_tetradactyla,Mammal,3500,33.65,23,35,873.6194444,NA,4.880555556,KhaliqHof,Invertebrate,S,1,TR,N,0,0,0,1.8,12.4,4.9,5.9,4.842530242,5.9304,35.1,32.2,34,33.6,2.20267186,1.18608,11.53521442,-33.54935298,NA,521
Callithrix pygmaea,Primates,Cebuella pygmaea,Callithrix_pygmaea,Mammal,153,35.35,27,34,107.221,NA,0.599,KhaliqHof,FruiNect,Ar,0,NA,NA,NA,0,0,15.9,19,17,17.1,1.618460157,1.92738,34.1,32.7,33.9,33.7,0.726383935,0.59304,2.435035593,-12.62366441,NA,227
Saimiri sciureus,Primates,Saimiri sciureus,Saimiri_sciureus,Mammal,850,38.15,25,35,594.1805556,NA,3.319444444,KhaliqHof,Omnivore,Ar,0,TR,N,0,0,0,-1.6,18.7,13.1,13.7,3.763483404,2.9652,35.8,32.4,35.1,34.7,2.656406824,1.18608,8.388335592,-15.04706441,NA,413
Colobus guereza,Primates,Colobus guereza,Colobus_guereza,Mammal,10500,37,5,28,3132,97.88,16.69166667,KhaliqHof,PlantSeed,Ar,0,TR,N,0,0,0,4.8,16.2,11.2,12.8,2.397141933,1.63086,39.9,36.85,39.6,39.4,2.506009738,2.74281,14.4124527,-3.525078572,NA,398
Perodicticus potto,Primates,Perodicticus potto,Perodicticus_potto,Mammal,1090,36,25,29,347.6,31.6,2.861111111,KhaliqHof,FruiNect,Ar,1,TR,N,0,0,0,3.5,17.7,11.84,14.7,2.573755404,1.77912,36.7,33.4,36.06,35.7,2.378540285,2.2239,9.146502683,-11.20214748,NA,589
Aplodontia rufa,Rodentia,Aplodontia rufa,Aplodontia_rufa,Mammal,630,38,26.5,35,277.2,24.1,1.547222222,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-13.7,-4.95,-12.89,-11.53,5.039979359,7.04235,33.7,26.5,30.83,30.5,4.012450653,4.59606,50.14683559,36.30773559,NA,78
Cryptomys hottentotus,Rodentia,Cryptomys hottentotus,Cryptomys_hottentotus,Mammal,102,33.8,28,32,48.5,8.36,0.388888889,KhaliqHof,PlantSeed,G,1,T,N,0,0,1,-3.8,2.35,-2.11,-0.6,4.73605183,4.22541,35,31.7,34.505,34.1,1.993310357,1.77912,-8.750364408,-34.83976441,NA,200
Cryptomys bocagei,Rodentia,Fukomys bocagei,Cryptomys_bocagei,Mammal,94,33.7,31.5,32.5,69.6,31.64,0.388888889,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,4,6.4,4.825,5.1,2.167598025,1.4826,34.7,32.4,34.6,34.5,1.901309093,2.74281,-10.15816441,-18.21646441,NA,166
Cryptomys mechowi,Rodentia,Fukomys mechowi,Cryptomys_mechowi,Mammal,267,34,29,30,160.2,32.04,0.911111111,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,3.9,6.8,4.72,5.2,3.644215663,1.77912,35.5,31.8,34.9,34.5,1.632161703,1.33434,-2.895564407,-15.12026441,NA,245
Cryptomys damarensis,Rodentia,Fukomys damarensis,Cryptomys_damarensis,Mammal,124,35.2,27,31,70.7,8.62,0.397222222,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-0.5,2.5,-0.1,0.02,1.82529738,1.92738,36.9,34.1,35.82,35.38,0.819782498,0.44478,-15.98486441,-27.93066441,NA,153
Georychus capensis,Rodentia,Georychus capensis,Georychus_capensis,Mammal,192.6,36.4,26.3,34,113.6,11.25,0.627777778,KhaliqHof,PlantSeed,G,0,T,N,0,0,1,-5,3.8,0.77,1.69,2.239428754,1.18608,32.8,27.75,31.055,30.71,2.485391546,2.14977,-28.84336441,-34.83976441,NA,130
Heterocephalus glaber,Rodentia,Heterocephalus glaber,Heterocephalus_glaber,Mammal,39.2,32.3,31,37,21.6,72,0.144444444,KhaliqHof,PlantSeed,G,1,TR,N,0,0,0,4,13.7,8.1,9.7,3.911451761,4.29954,38.8,33.7,37.4,35.7,2.5311451,1.77912,11.98523559,-2.340064408,NA,181
Dolichotis salinicola,Rodentia,Dolichotis salinicola,Dolichotis_salinicola,Mammal,1613,38.4,28,37,725.9,69.8,4.05,KhaliqHof,PlantSeed,G,0,T,N,0,0,0,-3.2,7.95,-0.48,0.32,4.276146648,4.81845,35.2,33.7,34.9,34.7,1.9514178,1.03782,-17.22961044,-33.06267276,NA,122
Kerodon rupestris,Rodentia,Kerodon rupestris,Kerodon_rupestris,Mammal,801,38.2,27,36,282.9,25.26,2.011111111,KhaliqHof,PlantSeed,G,0,TR,N,0,0,0,9.6,14.9,10.6,10.7,2.784373145,3.40998,36,33.8,35.61,35.1,1.512082502,1.63086,-2.786885977,-18.76110041,NA,139
Hydrochoerus hydrochaeris,Rodentia,Hydrochoerus hydrochaeris,Hydrochoerus_hydrochaeris,Mammal,26400,37.1,22,33,6600,437.09,36.754,KhaliqHof,PlantSeed,G,0,NA,NA,NA,0,0,-10.2,10.25,-0.805,3.4,6.014152372,6.74583,35.1,32.2,34.2,33.6,1.544609609,1.18608,10.40499973,-37.28077223,NA,520
Microtus guentheri,Rodentia,Microtus guentheri,Microtus_guentheri,Mammal,51.3,38.45,30,34,80.05277778,NA,0.447222222,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-10.2,-1.8,-8.5,-6.7,3.842881898,3.7065,40.4,32.05,39.2,38.5,3.52069923,2.29803,42.82847348,31.23825033,NA,248
Microtus longicaudus,Rodentia,Microtus longicaudus,Microtus_longicaudus,Mammal,26.9,37.7,26.5,33.5,76.4,4.32,0.347222222,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-35.2,-28.9,-34.4,-34,7.284839793,7.85778,40.4,20.45,36.2,35.2,8.550056526,10.00755,68.13523559,32.20733559,NA,540
Phyllotis darwini,Rodentia,Phyllotis darwini,Phyllotis_darwini,Mammal,59,37,27.5,34,71.4,7.52,0.397222222,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-7.9,2.1,-5.06,-0.26,2.913276168,2.07564,29.2,27.4,29.14,28.66,3.838925434,1.18608,-23.72776441,-37.75486441,NA,33
Loxodontomys micropus,Rodentia,Loxodontomys micropus,Loxodontomys_micropus,Mammal,62.3,37.2,22,33,97.8,6.43,0.544444444,KhaliqHof,Invertebrate,G,1,T,N,0,0,0,-5.4,-1.95,-4.97,-4.3,2.48940331,2.00151,30.4,23.75,30.035,29.57,5.524069543,6.59757,-32.56906441,-53.35266441,NA,74
Peromyscus maniculatus,Rodentia,Peromyscus maniculatus,Peromyscus_maniculatus,Mammal,17,36.75,29,37,38.78333333,NA,0.216666667,KhaliqHof,Invertebrate,G,1,T,Y,1,0,0,-34.4,-29.8,-33.1,-32.62,3.568696111,2.2239,40.6,28.2,34.96,34.1,7.051793879,7.70952,65.64702228,16.20655559,NA,1009
Myodes gapperi,Rodentia,Myodes gapperi,Myodes_gapperi,Mammal,20.8,37.6,26,34,48.5,4.37,0.247222222,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-36.4,-29.7,-36,-35.5,4.867740185,3.85476,36.3,28.4,32.6,31.5,5.320996097,3.85476,62.43333559,32.84473559,NA,925
Peromyscus leucopus,Rodentia,Peromyscus leucopus,Peromyscus_leucopus,Mammal,21.2,36,27.5,34.5,35.2,4.14,0.197222222,KhaliqHof,Invertebrate,G,1,T,Y,1,0,0,-23,-17.8,-22.4,-22.1,4.448065831,5.48562,38.6,31.7,35.67,34.9,4.2406352,3.40998,51.13023546,15.86226068,NA,587
Isthmomys pirrensis,Rodentia,Isthmomys pirrensis,Isthmomys_pirrensis,Mammal,140.4,37.5,32,34,123.6,16.48,0.677777778,KhaliqHof,Invertebrate,S,1,TR,N,0,0,0,15.5,20.3,16.18,16.86,2.524106002,2.66868,31.3,30.2,31.02,30.74,0.81240384,0.44478,8.196471864,7.339934169,NA,9
Microtus arvalis,Rodentia,Microtus arvalis,Microtus_arvalis,Mammal,24,37.15,20,30,60.16388889,NA,0.336111111,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-38.5,-17.3,-28.135,-24.3,9.916103568,9.85929,35,26.8,32.1,30.6,4.197678892,3.11346,61.99883666,38.44684273,NA,1254
Ochrotomys nuttalli,Rodentia,Ochrotomys nuttalli,Ochrotomys_nuttalli,Mammal,19.5,38.08,29.5,36,27.1,3.16,0.151,KhaliqHof,PlantSeed,Ar,1,NA,NA,NA,0,0,-9.8,-6.3,-8.28,-8,2.253603857,1.77912,35.5,32.6,34.68,33.9,1.011687803,1.03782,39.40943559,26.69953559,NA,245
Neotoma lepida,Rodentia,Neotoma lepida,Neotoma_lepida,Mammal,106,36.95,31,35,99.44444444,NA,0.555555556,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-16.4,-9.1,-15.94,-14.88,4.523113335,3.55824,35.2,31.5,34.04,33.48,2.56791211,2.2239,44.14053559,22.86713559,NA,173
Ondatra zibethicus,Rodentia,Ondatra zibethicus,Ondatra_zibethicus,Mammal,1004.6,37.55,15,30,641.9138889,NA,3.586111111,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-37.4,-31.9,-35.2,-35,5.496353103,4.15128,41.9,22.5,36.38,35.66,8.782410222,12.30558,68.46249114,28.92028617,NA,1385
Microtus pinetorum,Rodentia,Microtus pinetorum,Microtus_pinetorum,Mammal,23.8,38.45,23,35,55.68888889,NA,0.311111111,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-18.3,-12.9,-17.555,-17.1,3.689260104,3.48411,36,32.9,35.155,34.21,2.354785653,1.33434,45.78663559,29.06913559,NA,350
Peromyscus californicus,Rodentia,Peromyscus californicus,Peromyscus_californicus,Mammal,49.6,36.55,27,34.5,58.175,NA,0.325,KhaliqHof,Invertebrate,G,1,T,Y,1,0,0,-9.8,0.4,-7.7,-7.28,4.092266605,3.85476,41.5,33,39.045,37.79,6.318667219,5.55975,38.07906483,29.93078439,NA,92
Peromyscus truei,Rodentia,Peromyscus truei,Peromyscus_truei,Mammal,33,36.7,27,33,50.8,5.24,0.347222222,KhaliqHof,Invertebrate,G,1,T,NA,NA,0,0,-18.4,-10.1,-16.93,-15.46,4.206573516,2.66868,41.7,31.7,35.2,34.7,4.352589724,4.00302,46.67473559,29.81983559,NA,315
Peromyscus crinitus,Rodentia,Peromyscus crinitus,Peromyscus_crinitus,Mammal,20.9,35.85,29,35,30.82777778,NA,0.172222222,KhaliqHof,Invertebrate,G,1,T,Y?,1,0,0,-16,-11.4,-15.635,-15.27,3.369131654,3.85476,41.1,31.75,38.71,37.5,4.073490073,4.07715,45.3518888,28.41540358,NA,174
Peromyscus eremicus,Rodentia,Peromyscus eremicus,Peromyscus_eremicus,Mammal,21.5,36.6,30,36.5,31.8,4.18,0.180555556,KhaliqHof,Invertebrate,G,1,T,Y,1,0,0,-9.5,-4.2,-7.92,-7.42,3.62299835,3.7065,42.2,35.7,41.9,40.38,3.939728461,4.00302,37.89861229,21.50383125,NA,219
Microtus montanus,Rodentia,Microtus montanus,Microtus_montanus,Mammal,51.2,37.5,26,31,81.6,7.1,0.5,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-19,-12.8,-15.7,-15,2.956301796,2.37216,41.1,31.1,37.2,36.4,4.154713002,4.4478,52.88713559,33.02903559,NA,231
Myopus schisticolor,Rodentia,Myopus schisticolor,Myopus_schisticolor,Mammal,26.4,39,20.9,24,93.5,5.17,0.522,KhaliqHof,PlantSeed,G,1,NA,NA,NA,0,0,-50.5,-33.4,-45.8,-42.4,10.36215396,11.71254,27.1,22.2,25.3,24.9,3.249186785,2.52042,71.75223006,43.72786189,NA,1921
Phodopus sungorus,Rodentia,Phodopus sungorus,Phodopus_sungorus,Mammal,24,36.25,20,35,77.06944444,NA,0.430555556,KhaliqHof,PlantSeed,G,1,T,Y,1,0,0,-33.1,-22.9,-26.235,-23.8,2.030874224,1.18608,31.8,27,31.7,31.07,3.584968755,3.03933,56.422814,47.160268,NA,374
Onychomys torridus,Rodentia,Onychomys torridus,Onychomys_torridus,Mammal,19.1,36.15,30,35,29.33611111,NA,0.163888889,KhaliqHof,Invertebrate,G,1,T,N?,0,0,0,-13.1,-6.3,-11.25,-10.8,4.771886584,4.52193,38.9,36.5,37.9,37.8,3.636523383,1.33434,42.14624651,24.97318077,NA,156
Microtus pennsylvanicus,Rodentia,Microtus pennsylvanicus,Microtus_pennsylvanicus,Mammal,38.9,38.65,25,29,75.08055556,NA,0.419444444,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-39.5,-31.9,-38.4,-37.42,6.042371746,4.89258,34.7,22.4,32.4,31.8,6.598236257,9.19212,70.25343559,28.94103559,NA,1299
Microtus ochrogaster,Rodentia,Microtus ochrogaster,Microtus_ochrogaster,Mammal,47.4,37.8,25,34,40.3,3.15,0.461111111,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-27.6,-24.7,-26.98,-26.8,6.604749426,2.9652,35.7,31.9,34.8,34.4,4.533243676,2.9652,55.99243559,29.07313559,NA,425
Ctenomys talarum,Rodentia,Ctenomys talarum,Ctenomys_talarum,Mammal,116,36.1,25,30,119.2,10.74,0.613888889,KhaliqHof,PlantSeed,G,0,T,N,0,0,0,0.2,3.4,0.42,0.6,1.241407442,0.44478,33.6,29.2,33.26,32.86,1.756270877,1.03782,-34.87663586,-39.15411534,NA,85
Cabassous centralis,Rodentia,Cabassous centralis,Cabassous_centralis,Mammal,3810,33.6,27.5,32.5,677.3,111.03,4.463888889,KhaliqHof,Invertebrate,G,1,TR,N,0,0,0,8.3,19.1,11.135,12.3,3.365310886,2.37216,35,31.9,34.2,33.7,1.397040135,1.70499,16.88771477,0.096111105,NA,248
Dasyprocta azarae,Rodentia,Dasyprocta azarae,Dasyprocta_azarae,Mammal,3849,37.4,18,35,1886,97.22,10.51944444,KhaliqHof,PlantSeed,G,0,TR,N,0,0,0,6.7,9.8,7.41,7.7,2.59944252,2.81694,35.3,32.6,35,34.6,2.396342267,2.37216,-12.27077484,-33.6699819,NA,163
Myoprocta acouchy,Rodentia,Myoprocta acouchy,Myoprocta_acouchy,Mammal,914,35.4,25,30,502.7,48.34,2.802777778,KhaliqHof,PlantSeed,G,0,TR,N,0,0,0,13.6,22,19.88,20.9,1.591962787,0.7413,33.7,32.9,33.5,33.4,0.356024815,0.44478,7.60003735,-3.20126772,NA,143
Dasyprocta leporina,Rodentia,Dasyprocta leporina,Dasyprocta_leporina,Mammal,2687,38.3,20,34,1558.5,85.16,8.694,KhaliqHof,PlantSeed,G,0,NA,NA,NA,0,0,17.7,21.7,18.9,19.5,1.384471902,1.33434,33.7,32.7,33.5,33.3,0.493220287,0.44478,12.7400713,-3.139769404,NA,241
Napaeozapus insignis,Rodentia,Napaeozapus insignis,Napaeozapus_insignis,Mammal,20.9,37,30,34,92,15.33,0.216666667,KhaliqHof,Omnivore,G,1,T,HIB,1,0,0,-27.6,-25.5,-27.4,-27.3,3.057549563,2.37216,31.8,26.9,29.9,29.4,4.357830664,2.81694,54.23193559,34.57973559,NA,495
Jaculus jaculus,Rodentia,Jaculus jaculus,Jaculus_jaculus,Mammal,74.5,37,33,35,91.6,22.9,0.513888889,KhaliqHof,PlantSeed,G,1,T,HIB,1,0,0,-9.5,5.85,-4.155,-0.51,5.214643976,5.11497,45.3,39.15,44,41.9,3.6069936,2.74281,35.88696861,7.149199078,NA,870
Jaculus orientalis,Rodentia,Jaculus orientalis,Jaculus_orientalis,Mammal,139.1,37,28,33,139.1,15.46,0.775,KhaliqHof,PlantSeed,G,1,T,HIB,1,1,0,-4.5,3.05,-1.2,-0.4,2.753586661,3.78063,39.6,32.5,38.1,37.1,2.592131085,2.52042,37.34961701,29.27741632,NA,316
Thrichomys apereoides,Rodentia,Thrichomys apereoides,Thrichomys_apereoides,Mammal,323,37.6,25,35,206.7,16.4,1.153,KhaliqHof,FruiNect,G,1,NA,NA,NA,0,0,8,13.1,8.82,9.38,3.205494867,4.00302,35.9,33,35.2,35.1,2.078020513,2.52042,-2.786388397,-21.62549727,NA,165
Geomys bursarius,Rodentia,Geomys bursarius,Geomys_bursarius,Mammal,197,36.4,30,33,137.9,21.55,0.769444444,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-24.2,-16,-23.5,-23.12,4.816132969,6.52344,36.9,33.2,36.01,35.7,1.942032572,2.37216,49.73203559,31.31023559,NA,219
Thomomys talpoides,Rodentia,Thomomys talpoides,Thomomys_talpoides,Mammal,106,35.5,26,32,141,14.84,0.608333333,KhaliqHof,PlantSeed,G,1,T,N,0,0,0,-27,-24.6,-26.4,-26,7.549612903,1.77912,36.5,30.3,33.2,32.6,3.255795904,2.66868,55.59083559,33.59963559,NA,321
